"satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","structural_zero_flag","ArrivalDelay.Residual"
"dissatisfied","Loyal Customer",41,"Personal Travel","Eco Plus",1830,2,5,2,3,2,2,2,2,5,5,5,4,4,2,5,11,FALSE,5.34829013233439
"satisfied","Loyal Customer",24,"Personal Travel","Eco",1568,4,4,4,4,4,5,4,4,4,4,4,5,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",9,"Personal Travel","Eco",1200,2,5,2,3,2,2,2,2,5,4,2,4,3,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",23,"Personal Travel","Business",1388,5,5,5,5,3,5,4,3,3,4,5,5,3,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",29,"Personal Travel","Eco",3794,1,1,4,1,4,4,5,4,4,4,5,2,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",2616,2,5,2,4,2,2,5,2,5,4,4,4,4,2,0,17,FALSE,16.2425357329967
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco",2196,2,5,2,4,4,2,4,4,3,3,4,3,4,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",59,"Personal Travel","Eco",483,4,4,4,4,5,4,4,5,5,4,5,4,5,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",33,"Personal Travel","Eco",858,1,1,2,1,4,5,5,5,3,5,5,5,3,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",2332,2,5,2,5,4,2,4,4,2,2,2,4,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",1244,2,5,2,5,2,2,2,2,4,4,5,3,4,2,0,2,FALSE,1.24253573299665
"dissatisfied","Loyal Customer",39,"Personal Travel","Eco",1449,2,5,2,5,1,2,1,1,4,5,2,5,2,1,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",37,"Personal Travel","Eco",1248,2,5,2,5,2,2,2,2,3,5,4,4,4,2,2,2,FALSE,-0.715162507268255
"satisfied","Loyal Customer",16,"Personal Travel","Eco",1712,2,3,2,2,1,4,5,5,5,4,5,5,5,5,70,67,FALSE,-2.27690267627505
"dissatisfied","Loyal Customer",69,"Personal Travel","Eco",1869,2,5,3,3,4,3,4,4,2,5,5,4,3,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",35,"Personal Travel","Business",328,2,2,2,2,4,5,4,4,4,3,4,3,4,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",30,"Personal Travel","Business",3279,5,5,5,5,5,5,4,4,4,5,4,4,4,5,117,85,FALSE,-30.2828113225003
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",1950,3,0,3,4,3,3,3,3,1,4,3,1,3,3,0,0,TRUE,-0.757464267003349
"dissatisfied","Loyal Customer",66,"Personal Travel","Eco",2603,3,1,3,1,2,3,2,2,1,4,2,3,1,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",36,"Personal Travel","Eco",2815,3,3,3,3,2,4,4,4,4,5,4,4,4,4,44,36,FALSE,-7.82682555283127
"dissatisfied","Loyal Customer",11,"Personal Travel","Eco",1688,3,1,3,3,2,3,2,2,4,3,3,2,3,2,51,53,FALSE,2.32123060624156
"dissatisfied","Loyal Customer",50,"Personal Travel","Eco",3051,3,1,3,4,2,3,2,2,4,3,4,2,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",12,"Personal Travel","Eco",2015,3,1,3,4,4,3,3,4,4,1,3,1,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",63,"Personal Travel","Business",2611,3,1,4,4,4,3,3,1,1,4,4,3,3,3,192,187,FALSE,-1.69649533243426
"satisfied","Loyal Customer",28,"Personal Travel","Eco",2688,2,2,3,2,5,4,4,5,5,5,5,5,5,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",66,"Personal Travel","Eco",1447,3,3,3,3,3,4,4,5,5,5,5,4,5,3,6,12,FALSE,5.36944101220193
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",2387,3,2,3,3,4,3,4,4,4,1,3,1,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",2060,3,2,3,3,4,3,4,4,4,2,2,4,3,4,18,10,FALSE,-8.3767484293875
"dissatisfied","Loyal Customer",22,"Personal Travel","Eco",3993,3,2,3,4,4,3,4,4,2,1,3,2,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",3353,3,2,3,4,3,3,3,3,1,3,3,1,3,3,101,94,FALSE,-5.62122540038109
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco Plus",1943,3,2,3,4,3,3,5,3,4,3,3,1,4,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",67,"Personal Travel","Eco",426,5,4,4,4,5,3,5,5,5,5,5,4,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",22,"Personal Travel","Eco",1816,3,2,3,4,1,3,3,1,3,1,4,3,4,1,2,0,FALSE,-2.71516250726825
"dissatisfied","Loyal Customer",67,"Personal Travel","Eco",1776,3,2,3,4,4,3,4,4,3,4,4,5,4,4,15,2,FALSE,-13.4402010689901
"dissatisfied","Loyal Customer",50,"Personal Travel","Eco",1989,3,2,3,4,5,3,3,5,4,5,3,1,3,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",1631,3,2,5,3,2,5,2,2,1,1,2,1,3,2,74,73,FALSE,-0.19229915680485
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco",1329,3,3,0,3,1,0,1,1,4,3,4,3,4,1,0,2,TRUE,1.24253573299665
"satisfied","Loyal Customer",58,"Personal Travel","Business",1446,5,5,5,5,5,5,5,5,4,2,4,5,4,5,3,0,FALSE,-3.69401162740071
"satisfied","Loyal Customer",23,"Personal Travel","Eco",3515,5,5,5,5,4,4,4,5,5,5,5,4,5,3,45,35,FALSE,-9.80567467296373
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",2520,3,3,3,2,3,1,1,4,2,1,5,1,4,1,243,251,FALSE,12.3821995408107
"satisfied","Loyal Customer",16,"Personal Travel","Eco",3927,5,5,5,5,3,4,5,5,5,5,5,3,5,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",22,"Personal Travel","Eco",2450,5,5,5,5,2,5,5,5,5,5,5,5,5,4,10,0,FALSE,-10.5459554683279
"dissatisfied","Loyal Customer",70,"Personal Travel","Eco",1987,3,3,3,3,4,3,3,4,2,5,3,3,4,4,3,0,FALSE,-3.69401162740071
"satisfied","Loyal Customer",16,"Personal Travel","Eco",2819,1,1,1,1,4,4,5,5,5,5,5,5,5,5,0,7,FALSE,6.24253573299665
"satisfied","Loyal Customer",10,"Personal Travel","Eco",2590,4,4,4,4,2,5,4,5,5,5,5,5,5,3,12,20,FALSE,7.49634629140722
"dissatisfied","Loyal Customer",70,"Personal Travel","Eco",2345,3,3,3,4,4,3,4,4,2,5,4,4,4,4,9,0,FALSE,-9.56710634819542
"dissatisfied","Loyal Customer",18,"Personal Travel","Eco",1420,3,3,3,4,3,3,3,3,1,2,5,2,2,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",19,"Personal Travel","Eco",1547,3,3,3,3,4,4,5,5,5,5,5,4,5,3,35,23,FALSE,-12.0171834716392
"dissatisfied","Loyal Customer",70,"Personal Travel","Eco",3067,3,3,3,5,2,3,2,2,1,4,4,4,5,2,15,12,FALSE,-3.44020106899014
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",1947,3,3,3,5,3,2,2,5,2,5,4,2,2,2,159,180,FALSE,23.6055256319367
"satisfied","Loyal Customer",22,"Personal Travel","Eco Plus",1422,2,2,2,2,3,5,4,5,5,5,5,5,5,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",21,"Personal Travel","Eco",1153,3,4,2,3,1,2,4,1,2,3,4,1,4,1,0,28,FALSE,27.2425357329967
"dissatisfied","Loyal Customer",22,"Personal Travel","Eco Plus",2842,3,4,3,1,1,3,1,1,2,2,3,1,1,1,41,46,FALSE,5.10972180756609
"satisfied","Loyal Customer",50,"Personal Travel","Eco",1193,5,3,3,3,1,1,3,5,5,5,5,1,5,3,0,5,FALSE,4.24253573299665
"satisfied","Loyal Customer",63,"Personal Travel","Business",1013,5,1,1,1,5,5,5,5,5,1,4,5,3,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",32,"Personal Travel","Eco",2194,3,4,3,1,5,3,5,5,3,3,4,5,4,5,7,0,FALSE,-7.60940810793052
"dissatisfied","Loyal Customer",35,"Personal Travel","Eco Plus",2374,3,4,3,1,5,3,4,5,5,3,4,5,5,5,6,0,FALSE,-6.63055898779807
"satisfied","Loyal Customer",50,"Personal Travel","Eco",465,1,1,1,1,5,5,5,5,2,1,3,2,1,5,32,33,FALSE,0.919363888758164
"dissatisfied","Loyal Customer",12,"Personal Travel","Eco Plus",2133,3,4,3,1,5,3,5,5,4,5,5,4,4,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",62,"Personal Travel","Eco",252,2,2,3,2,5,5,5,5,5,5,5,3,5,4,0,15,FALSE,14.2425357329967
"satisfied","Loyal Customer",63,"Personal Travel","Eco",1501,5,5,5,5,2,4,4,5,5,5,5,5,5,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",3180,3,4,3,2,2,3,2,2,5,4,5,4,5,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",70,"Personal Travel","Eco",1032,3,3,3,3,4,5,5,5,5,5,5,5,5,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",2052,3,4,3,2,1,3,1,1,2,1,5,1,2,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",17,"Personal Travel","Eco",1945,4,5,4,4,3,4,4,5,5,5,5,3,5,4,50,67,FALSE,17.300079726374
"dissatisfied","Loyal Customer",33,"Personal Travel","Business",1849,3,4,3,2,2,3,2,2,3,3,4,4,5,2,4,2,FALSE,-2.67286074753316
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",1442,3,4,3,2,4,3,4,4,3,3,5,5,4,4,27,19,FALSE,-8.18639051057957
"satisfied","Loyal Customer",46,"Personal Travel","Eco Plus",55,1,1,1,1,3,4,4,5,5,5,5,4,5,5,16,11,FALSE,-5.41905018912259
"satisfied","Loyal Customer",36,"Personal Travel","Eco",2549,4,4,1,4,5,5,5,5,5,3,4,4,4,5,1,0,FALSE,-1.7363133871358
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",2683,3,4,3,3,4,3,4,4,4,3,5,5,5,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",2767,3,4,3,3,2,3,2,2,3,2,4,3,5,2,0,1,FALSE,0.242535732996651
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco",2540,3,4,3,3,4,3,4,4,4,5,4,5,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",7,"Personal Travel","Eco",1929,3,4,3,3,1,3,2,1,4,3,5,5,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",7,"Personal Travel","Eco",1453,3,4,3,3,2,3,1,2,3,2,5,5,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",1595,3,4,3,3,3,3,3,3,5,2,4,5,5,3,20,31,FALSE,10.6655533303476
"satisfied","Loyal Customer",42,"Personal Travel","Eco",1242,3,3,3,3,5,5,5,5,5,5,5,3,5,3,106,89,FALSE,-15.5154710010433
"dissatisfied","Loyal Customer",38,"Personal Travel","Eco",1670,3,4,3,4,5,3,5,5,1,3,5,2,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",50,"Personal Travel","Eco Plus",2406,3,4,3,4,4,3,4,4,4,3,2,2,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",65,"Personal Travel","Eco",2001,3,4,3,4,4,3,4,4,4,3,4,4,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",44,"Personal Travel","Eco",1600,3,4,3,4,2,3,2,2,5,5,4,4,5,2,26,14,FALSE,-12.2075413904471
"dissatisfied","Loyal Customer",46,"Personal Travel","Eco",1837,3,4,3,4,2,3,2,2,3,2,4,4,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco",1045,3,4,3,4,2,3,2,2,2,1,4,2,3,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",37,"Personal Travel","Eco",2174,3,4,3,5,5,3,4,5,4,2,2,5,5,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",2264,3,4,3,5,3,3,3,3,5,4,5,4,4,3,39,38,FALSE,-0.932579952169008
"dissatisfied","Loyal Customer",57,"Personal Travel","Eco",3673,3,4,4,3,2,4,2,2,5,3,3,5,5,2,1,19,FALSE,17.2636866128642
"dissatisfied","Loyal Customer",23,"Personal Travel","Eco Plus",2153,3,4,4,4,1,4,1,1,3,3,5,3,3,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",48,"Personal Travel","Eco",209,5,5,5,5,5,5,5,5,5,4,5,1,2,5,0,6,FALSE,5.24253573299665
"satisfied","Loyal Customer",33,"Personal Travel","Eco",2176,5,5,5,5,2,5,5,5,5,5,5,5,5,5,3,4,FALSE,0.305988372599293
"dissatisfied","Loyal Customer",45,"Personal Travel","Eco",2413,3,5,2,4,2,2,2,2,3,3,4,3,5,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",39,"Personal Travel","Eco Plus",3249,5,5,5,5,5,2,1,5,5,5,5,3,5,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",27,"Personal Travel","Eco",1325,2,2,3,2,5,3,2,5,5,5,5,5,5,2,13,8,FALSE,-5.48250282872523
"satisfied","Loyal Customer",28,"Personal Travel","Eco",3170,2,2,2,2,3,4,5,5,5,5,5,5,5,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",19,"Personal Travel","Eco",2331,4,4,4,4,2,2,2,5,5,5,5,5,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",1794,3,5,3,2,5,3,5,5,2,4,3,5,2,5,4,19,FALSE,14.3271392524668
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",2309,3,5,3,2,4,3,4,4,3,5,5,4,4,4,16,18,FALSE,1.58094981087741
"satisfied","Loyal Customer",23,"Personal Travel","Eco",1722,4,4,4,4,2,5,5,5,5,5,5,3,5,5,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",38,"Personal Travel","Eco Plus",2085,2,2,5,2,5,5,5,5,5,2,4,5,4,5,0,4,FALSE,3.24253573299665
"satisfied","Loyal Customer",25,"Personal Travel","Eco",3128,2,2,2,2,2,5,4,5,5,5,5,3,5,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",39,"Personal Travel","Eco",1927,3,5,3,3,2,3,2,2,3,2,4,4,5,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",35,"Personal Travel","Business",1076,5,5,5,5,5,5,5,5,5,2,2,1,4,5,22,11,FALSE,-11.2921449099173
"satisfied","Loyal Customer",11,"Personal Travel","Eco",1967,4,4,4,4,4,5,4,5,5,5,5,3,5,3,4,4,FALSE,-0.672860747533159
"satisfied","Loyal Customer",29,"Personal Travel","Eco",2406,2,2,2,2,4,5,4,5,5,5,5,3,5,4,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",59,"Personal Travel","Eco Plus",696,5,5,3,5,5,4,4,5,5,5,5,3,5,5,22,29,FALSE,6.70785509008269
"dissatisfied","Loyal Customer",69,"Personal Travel","Business",372,3,5,3,3,4,5,4,2,2,3,3,5,2,4,70,56,FALSE,-13.276902676275
"dissatisfied","Loyal Customer",38,"Personal Travel","Eco",1359,3,5,3,3,2,3,2,2,4,1,5,2,5,2,4,2,FALSE,-2.67286074753316
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",3930,3,5,3,4,3,3,1,3,4,5,3,3,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",2416,3,5,3,4,2,4,4,2,2,3,1,3,2,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",48,"Personal Travel","Eco",1713,3,5,3,4,5,3,5,5,5,4,3,4,5,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",63,"Personal Travel","Eco Plus",1867,3,5,3,4,2,3,2,2,4,5,5,5,5,2,69,55,FALSE,-13.2980535561426
"dissatisfied","Loyal Customer",60,"Personal Travel","Eco",1155,3,5,3,4,2,3,1,2,4,4,2,1,4,2,2,6,FALSE,3.28483749273175
"dissatisfied","Loyal Customer",47,"Personal Travel","Eco",2705,3,5,3,5,3,3,3,3,5,2,5,3,5,3,0,14,FALSE,13.2425357329967
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",2084,3,5,3,5,4,3,4,4,2,2,4,4,5,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",9,"Personal Travel","Eco",1161,3,5,3,5,1,3,1,1,5,5,4,5,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",42,"Personal Travel","Eco",382,3,5,3,5,5,5,5,2,2,3,2,1,2,5,2,0,FALSE,-2.71516250726825
"dissatisfied","Loyal Customer",15,"Personal Travel","Eco",2810,3,5,4,1,5,4,5,5,3,5,5,3,5,5,48,8,FALSE,-39.7422220333611
"dissatisfied","Loyal Customer",8,"Personal Travel","Eco",1929,3,5,4,4,2,4,3,2,4,2,4,5,2,2,3,12,FALSE,8.30598837259929
"dissatisfied","Loyal Customer",54,"Personal Travel","Eco",1961,3,5,5,3,1,5,1,1,4,2,4,5,5,1,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",56,"Personal Travel","Eco",2365,4,0,4,4,3,4,4,3,4,4,4,3,4,3,0,21,TRUE,20.2425357329967
"dissatisfied","Loyal Customer",12,"Personal Travel","Eco",2817,4,1,4,2,2,4,3,2,3,1,3,1,2,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",443,4,1,4,2,3,3,3,2,2,4,2,3,2,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",2116,4,1,4,2,2,4,2,2,1,3,3,1,3,2,6,13,FALSE,6.36944101220193
"satisfied","Loyal Customer",51,"Personal Travel","Eco Plus",1959,4,1,4,4,1,4,1,1,1,4,3,4,3,1,1,0,FALSE,-1.7363133871358
"dissatisfied","Loyal Customer",8,"Personal Travel","Eco",2428,4,2,4,3,2,4,2,2,4,5,4,2,4,2,0,5,FALSE,4.24253573299665
"satisfied","Loyal Customer",46,"Personal Travel","Eco",2243,4,2,4,3,4,4,4,4,1,5,3,2,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",1825,4,2,4,3,4,4,4,4,3,5,3,1,3,4,0,2,FALSE,1.24253573299665
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",2763,4,2,4,4,2,4,2,2,2,5,3,4,4,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",2546,4,2,5,4,5,5,5,5,3,5,3,1,4,5,31,24,FALSE,-7.10178699110938
"dissatisfied","Loyal Customer",38,"Personal Travel","Eco",1174,4,3,0,3,1,0,1,1,1,1,3,4,4,1,0,0,TRUE,-0.757464267003349
"dissatisfied","Loyal Customer",60,"Personal Travel","Eco",353,4,3,2,2,5,3,1,5,5,2,5,3,5,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",69,"Personal Travel","Eco",1115,4,3,3,3,3,3,3,4,4,3,4,3,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",37,"Personal Travel","Eco",3922,4,3,4,2,1,4,1,1,4,1,2,2,3,1,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",45,"Personal Travel","Eco",204,4,3,4,2,2,3,5,2,2,4,2,4,2,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",1836,4,3,4,3,5,4,5,5,1,2,2,1,5,5,3,9,FALSE,5.30598837259929
"dissatisfied","Loyal Customer",12,"Personal Travel","Eco",2018,4,3,4,3,2,4,2,2,3,4,2,1,3,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",10,"Personal Travel","Business",2473,4,3,4,4,4,4,4,4,2,4,3,4,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",47,"Personal Travel","Eco",882,4,3,4,4,1,4,3,4,4,4,3,1,4,1,15,8,FALSE,-7.44020106899014
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco",2477,4,3,4,4,5,4,5,5,2,4,4,4,4,5,22,14,FALSE,-8.29214490991731
"dissatisfied","Loyal Customer",63,"Personal Travel","Eco",332,4,3,4,4,2,3,4,4,4,4,4,3,4,1,0,1,FALSE,0.242535732996651
"satisfied","Loyal Customer",34,"Personal Travel","Eco",1380,4,4,2,1,4,2,4,4,4,5,4,5,5,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",42,"Personal Travel","Business",782,4,4,3,2,4,5,5,2,2,3,3,5,2,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",60,"Personal Travel","Business",1009,4,4,4,1,3,5,5,4,4,4,4,5,4,3,3,0,FALSE,-3.69401162740071
"dissatisfied","Loyal Customer",62,"Personal Travel","Eco",341,4,4,4,1,4,5,3,4,4,4,4,3,4,2,0,8,FALSE,7.24253573299665
"dissatisfied","Loyal Customer",34,"Personal Travel","Eco",1491,4,4,4,1,1,4,1,1,3,5,4,4,5,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",60,"Personal Travel","Eco",1039,4,4,4,2,1,3,2,2,2,4,2,5,2,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",45,"Personal Travel","Eco",2796,4,4,4,3,5,4,5,5,3,2,4,2,3,5,127,123,FALSE,-2.07130252382486
"satisfied","Loyal Customer",61,"Personal Travel","Eco",3108,4,4,4,3,2,4,2,2,5,5,5,5,4,2,2,5,FALSE,2.28483749273175
"dissatisfied","Loyal Customer",36,"Personal Travel","Eco",2410,4,4,4,3,5,4,5,5,3,3,3,3,4,5,0,13,FALSE,12.2425357329967
"satisfied","Loyal Customer",38,"Personal Travel","Eco",1658,4,4,4,3,5,4,5,5,3,4,4,4,4,5,5,8,FALSE,2.34829013233439
"satisfied","Loyal Customer",35,"Personal Travel","Eco",2084,4,4,4,3,2,4,2,2,4,5,5,5,5,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",68,"Personal Travel","Eco",2094,4,4,4,3,3,4,3,3,2,1,3,2,4,3,13,14,FALSE,0.517497171274765
"satisfied","Loyal Customer",37,"Personal Travel","Eco Plus",1849,4,4,4,3,3,4,3,3,4,2,5,5,4,3,7,4,FALSE,-3.60940810793052
"dissatisfied","Loyal Customer",37,"Personal Travel","Eco",1589,4,4,4,3,1,4,1,1,5,1,5,5,2,1,26,42,FALSE,15.7924586095529
"satisfied","Loyal Customer",59,"Personal Travel","Eco",245,4,4,4,3,1,4,4,1,1,4,1,4,1,2,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",41,"Personal Travel","Eco",2694,4,4,4,4,4,4,2,4,3,4,4,4,5,4,7,0,FALSE,-7.60940810793052
"dissatisfied","Loyal Customer",67,"Personal Travel","Eco",484,4,4,4,4,4,4,4,1,1,4,1,2,1,3,19,20,FALSE,0.644402450480049
"dissatisfied","Loyal Customer",8,"Personal Travel","Eco",1860,4,4,4,4,1,4,1,1,3,3,4,5,4,1,1,0,FALSE,-1.7363133871358
"dissatisfied","Loyal Customer",63,"Personal Travel","Eco",1675,4,4,4,5,3,4,3,3,4,5,4,4,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",8,"Personal Travel","Eco",3854,4,5,4,1,4,5,5,3,3,4,5,5,3,5,0,41,FALSE,40.2425357329967
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",683,4,5,4,1,5,5,3,5,5,4,1,1,5,3,22,11,FALSE,-11.2921449099173
"dissatisfied","Loyal Customer",49,"Personal Travel","Eco Plus",1382,4,5,4,1,5,4,5,5,5,1,1,5,2,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",33,"Personal Travel","Eco",2886,4,5,4,2,3,4,3,3,5,2,4,4,5,3,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",61,"Personal Travel","Eco",2251,4,5,4,2,2,4,2,2,3,4,5,4,5,2,48,63,FALSE,15.2577779666389
"satisfied","Loyal Customer",26,"Personal Travel","Eco Plus",1892,4,5,4,2,4,4,4,4,5,3,1,1,2,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",37,"Personal Travel","Eco",1880,4,5,4,3,3,4,3,3,5,4,5,4,4,3,0,1,FALSE,0.242535732996651
"dissatisfied","Loyal Customer",56,"Personal Travel","Eco",321,4,5,4,3,5,4,4,3,3,4,3,3,3,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",65,"Personal Travel","Eco",1861,4,5,4,3,5,4,5,5,4,5,4,3,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",30,"Personal Travel","Eco Plus",2225,4,5,4,4,1,4,1,1,4,5,4,3,5,1,1,21,FALSE,19.2636866128642
"dissatisfied","Loyal Customer",70,"Personal Travel","Eco",1871,4,5,4,4,1,4,1,1,4,3,4,4,4,1,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",10,"Personal Travel","Business",1179,4,5,4,4,3,4,3,3,4,2,1,5,4,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",43,"Personal Travel","Eco",1681,4,5,4,5,4,4,4,4,1,5,3,3,1,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",42,"Personal Travel","Eco",387,4,5,4,5,3,5,4,2,2,4,2,5,2,3,1,0,FALSE,-1.7363133871358
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",1356,4,5,5,2,2,5,2,2,4,4,4,4,5,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",16,"Personal Travel","Eco",3176,5,1,5,2,1,5,4,1,3,1,1,1,2,1,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",53,"Personal Travel","Eco",2218,5,1,5,2,2,1,2,2,2,3,1,4,1,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",28,"Personal Travel","Eco Plus",2094,5,2,5,2,3,5,3,3,4,2,2,4,3,3,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",50,"Personal Travel","Eco",1785,5,2,5,4,5,5,5,5,3,2,2,1,3,5,0,0,FALSE,-0.757464267003349
